"CMS Certification Number (CCN)","Facility Name","Address Line 1","Address Line 2","City","State","Zip Code","County Name","PhoneNumber","CMS Region","Ownership Type","Certification Date","Total Number of Beds"
"452016","KINDRED HOSPITAL SAN ANTONIO","3636 MEDICAL DRIVE","","SAN ANTONIO","TX","78229","Bexar","(210) 616-0616","6","For profit","02/08/1989",59
"452018","TEXAS HEALTH SPECIALTY HOSPITAL FORT WORTH","1300 PENNSYLVANIA 4TH FLOOR MAIN BLDG","","FORT WORTH","TX","76104","Tarrant","(817) 878-5500","6","Non-profit","04/03/1990",15
"452019","KINDRED HOSPITAL FORT WORTH- MANSFIELD","1802 HIGHWAY 157 NORTH","","MANSFIELD","TX","76063","Tarrant","(817) 332-4812","6","For profit","07/18/1990",55
"452022","SELECT SPECIALTY HOSPITAL-DALLAS","2329 PARKER ROAD","","CARROLLTON","TX","75010","Denton","(972) 884-2407","6","Non-profit","11/30/1991",60
"452023","KINDRED HOSPITAL HOUSTON MEDICAL CENTER","6441 MAIN ST","","HOUSTON","TX","77030","Harris","(713) 790-0500","6","For profit","02/01/1992",110
"452028","KINDRED HOSPITAL-TARRANT COUNTY","1000 N COOPER ST","","ARLINGTON","TX","76011","Tarrant","(817) 543-0200","6","For profit","07/01/1993",80
"452029","CONTINUE CARE HOSPITAL AT HENDRICK MEDICAL CENTER","1900 PINE ST 5TH FLOOR","","ABILENE","TX","79601","Taylor","(325) 670-5151","6","Non-profit","09/01/1993",46
"452031","PAM SPECIALTY HOSPITAL OF LUFKIN","1201 FRANK ST SUITE D5","","LUFKIN","TX","75904","Angelina","(936) 639-7975","6","Non-profit","01/01/1994",26
"452032","CORNERSTONE SPECIALTY HOSPITALS CLEAR LAKE","709 MEDICAL CENTER BLVD","","WEBSTER","TX","77598","Harris","(713) 551-5300","6","For profit","01/01/1994",148
"452034","CORNERSTONE HOSPITAL AUSTIN","4207 BURNET RD","","AUSTIN","TX","78756","Travis","(512) 706-1900","6","For profit","03/01/1994",157
"452035","MESA HILLS SPECIALTY HOSPITAL","2311 N OREGON STREET","","EL PASO","TX","79902","El Paso","(915) 548-1823","6","For profit","06/01/1994",32
"452038","TEXAS NEURO REHABILITATION CENTER","1106 W DITTMAR","","AUSTIN","TX","78745","Travis","(512) 444-4835","6","For profit","07/01/1994",47
"452039","KINDRED HOSPITAL","11297 FALLBROOK","","HOUSTON","TX","77065","Harris","(281) 897-8114","6","For profit","06/01/1994",158
"452040","SAN ANTONIO-AMG SPECIALTY HOSPITAL","718 LEXINGTON AVENUE","","SAN ANTONIO","TX","78212","Bexar","(210) 572-4600","6","For profit","08/01/1994",30
"452041","CARRUS SPECIALTY HOSPITAL","1810 WEST HIGHWAY 82","","SHERMAN","TX","75092","Grayson","(903) 416-4441","6","Physician","07/01/1994",33
"452042","CHRISTUS DUBUIS HOSPITAL OF BEAUMONT","2830 CALDER AVENUE 4TH FLOOR","","BEAUMONT","TX","77702","Jefferson","(409) 899-7680","6","Non-profit","07/01/1994",53
"452043","PINE VALLEY SPECIALTY HOSPITAL","6160 S LOOP EAST","","HOUSTON","TX","77087","Harris","(713) 640-2400","6","For profit","09/01/1994",59
"452044","LIFECARE HOSPITALS OF DALLAS","1950 RECORD CROSSING","","DALLAS","TX","75235","Dallas","(214) 525-6300","6","For profit","09/16/1994",206
"452046","PLAZA SPECIALTY HOSPITAL","1300 BINZ","","HOUSTON","TX","77004","Harris","(713) 285-1000","6","For profit","01/01/1995",65
"452051","UT HEALTH EAST TEXAS SPECIALTY HOSPITAL","1000 S BECKHAM FL 5","","TYLER","TX","75701","Smith","(903) 535-6551","6","Non-profit","05/01/1995",36
"452055","CORNERSTONE SPECIALTY HOSPITALS MEDICAL CENTER","2001 HERMANN DRIVE","","HOUSTON","TX","77004","Harris","(832) 649-6200","6","For profit","03/01/1997",35
"452056","PAM  SPECIALTY HOSPITAL OF VICTORIA SOUTH","506 EAST SAN ANTONIO STREET  3RD FLOOR","","VICTORIA","TX","77901","Victoria","(361) 575-1445","6","For profit","10/10/1997",23
"452057","NEXUS SPECIALTY HOSPITAL THE WOODLANDS","9182 SIX PINES DRIVE","","THE WOODLANDS","TX","77380","Montgomery","(713) 364-0317","6","For profit","04/23/1997",75
"452059","LIFECARE HOSPITAL OF SAN ANTONIO","8902 FLOYD CURL DRIVE","","SAN ANTONIO","TX","78240","Bexar","(210) 690-7000","6","For profit","09/01/1998",62
"452060","VIBRA HOSPITAL OF AMARILLO","7500 WALLACE BLVD","","AMARILLO","TX","79120","Potter","(806) 351-1600","6","For profit","08/01/1998",72
"452061","POST ACUTE MEDICAL SPECIALTY HOSPITAL OF TEXARKANA","2400 ST MICHAEL DRIVE 2ND FLOOR","","TEXARKANA","TX","75503","Bowie","(903) 614-7600","6","For profit","02/01/1999",49
"452062","WARM SPRING SPECIALITY HOSPTIAL AT LULING","200 MEMORIAL DRIVE","","LULING","TX","78648","Caldwell","(512) 672-6592","6","For profit","09/01/1998",34
"452063","LIFECARE HOSPITALS OF SOUTH TX","2001 M STREET","","MC ALLEN","TX","78504","Hidalgo","(956) 926-7000","6","For profit","04/09/1998",84
"452067","PROMISE HOSPITAL OF DALLAS","7955 HARRY HINES BLVD","","DALLAS","TX","75235","Dallas","(214) 637-0000","6","For profit","10/15/1996",66
"452068","PROMISE HOSPITAL OF WICHITA FALLS","1103 GRACE STREET","","WICHITA FALLS","TX","76301","Wichita","(940) 763-7901","6","For profit","04/29/1998",31
"452071","KINDRED HOSPITAL-WHITE ROCK","9440 POPPY DRIVE 5TH FLOOR","","DALLAS","TX","75218","Dallas","(214) 324-6730","6","For profit","07/29/2000",25
"452073","KINDRED HOSPITAL- SAN ANTONIO CENTRAL","111 DALLAS STREET  4TH FLOOR","","SAN ANTONIO","TX","78205","Bexar","(210) 297-7182","6","Non-profit","09/27/2000",44
"452074","KINDRED HOSPITAL TOMBALL","505 GRAHAM DRIVE","","TOMBALL","TX","77375","Harris","(281) 765-2622","6","For profit","03/22/2000",288
"452075","KINDRED HOSPITAL CLEAR LAKE","350 BLOSSOM ST","","WEBSTER","TX","77598","Harris","(281) 316-7800","6","For profit","09/01/2000",147
"452079","KINDRED HOSPTIAL EL PASO","1740 CURIE DRIVE","","EL PASO","TX","79902","El Paso","(915) 351-9044","6","For profit","02/28/2002",72
"452080","KINDRED HOSPITAL SUGAR LAND","1550 FIRST COLONY BOULEVARD","","SUGAR LAND","TX","77479","Fort Bend","(281) 275-6000","6","For profit","03/01/2003",171
"452083","MID-JEFFERSON EXTENDED CARE HOSPITAL","2600 HWY 365","","NEDERLAND","TX","77627","Jefferson","(409) 726-8700","6","For profit","10/01/2003",48
"452086","POST ACUTE MEDICAL SPECIALTY HOSPITAL CORPUS CH","600 ELIZABETH STREET 3RD FLOOR","","CORPUS CHRISTI","TX","78404","Nueces","(361) 881-3223","6","For profit","04/01/2004",41
"452087","SELECT SPECIALITY HOSPITAL OF LONGVIEW","700 EAST MARSHALL AVE FIRST FLOOR WEST WING","","LONGVIEW","TX","75601","Gregg","(903) 315-1111","6","For profit","06/05/2003",32
"452088","KINDRED HOSPITAL FORT WORTH","815 EIGHTH AVENUE","","FORT WORTH","TX","76104","Tarrant","(817) 332-4812","6","For profit","12/01/2003",67
"452090","PAM SPECIALTY HOSPITAL OF SAN ANTONIO","5418 N LOOP 1604 W","","SAN ANTONIO","TX","78249","Bexar","(210) 921-3550","6","For profit","11/20/2003",26
"452091","TYLER CONTINUECARE HOSPITAL (AT MOTHER FRANCES)","800 EAST DAWSON 4TH FLOOR","","TYLER","TX","75701","Smith","(903) 531-4942","6","Non-profit","06/02/2004",51
"452092","PAM SPECIALTY HOSPITAL OF  CORPUS CHRISTI SOUTH","6226 SARATOGA BOULEVARD","","CORPUS CHRISTI","TX","78414","Nueces","(361) 986-1600","6","For profit","05/01/2005",74
"452094","PAM SPECIALTY HOSPITAL OF VICTORIA NORTH","102 MEDICAL DRIVE","","VICTORIA","TX","77904","Victoria","(361) 576-6200","6","For profit","09/01/2005",26
"452095","SOLARA HOSPITAL MCALLEN","301 WEST EXPRESSWAY 83-8TH FLOOR","","MC ALLEN","TX","78503","Hidalgo","(956) 632-4880","6","For profit","10/01/2005",53
"452096","LAREDO SPECIALTY HOSPITAL LP","2005 BUSTAMANTE STREET","","LAREDO","TX","78041","Webb","(956) 753-5353","6","For profit","02/01/2007",40
"452097","VIBRA SPECIALTY HOSPITAL","2700 WALKER WAY","","DE SOTO","TX","75115","Dallas","(214) 638-1500","6","For profit","08/01/2007",60
"452100","MESQUITE SPECIALTY HOSPITAL","1024  N GALLOWAY AVENUE","","MESQUITE","TX","75149","Dallas","(972) 216-2300","6","Non-profit","06/01/2007",40
"452101","SOLARA HOSPITAL HARLINGEN","508 VICTORIA LANE","","HARLINGEN","TX","78550","Cameron","(682) 831-9670","6","For profit","08/01/2007",41
"452102","COVENANT SPECIALTY HOSPITAL","3815 20TH STREET","","LUBBOCK","TX","79410","Lubbock","(806) 725-9200","6","For profit","10/01/2007",56
"452105","BAYLOR SCOTT  &  WHITE CONTINUING CARE HOSPITAL","546 N KEGLEY ROAD","","TEMPLE","TX","76502","Bell","(254) 215-0900","6","Non-profit","01/01/2008",50
"452106","PAM SPECIALTY HOSPITAL OF NEW BRAUNFELS","1445 HANZ DRIVE","","NEW BRAUNFELS","TX","78130","Comal","(830) 627-7600","6","For profit","05/01/2008",40
"452107","CORNERSTONE HOSPITAL CONROE","1500 GRAND LAKE DRIVE","","CONROE","TX","77304","Montgomery","(682) 831-9670","6","For profit","11/13/2007",41
"452108","DALLAS LTACH LLC","8050 MEADOWS ROAD","","DALLAS","TX","75231","Dallas","(469) 232-6500","6","For profit","07/01/2008",60
"452110","SAGECREST HOSPITAL - GRAPEVINE","4201 WILLIAM D TATE AVENUE","","GRAPEVINE","TX","76051","Tarrant","(817) 288-1300","6","For profit","09/01/2008",60
"452111","ATRIUM MEDICAL CENTER AT CORINTH","2813 S MAYHILL ROAD 2ND FLOOR","","DENTON","TX","76208","Denton","(940) 320-2300","6","For profit","10/17/2007",60
"452112","ICON HOSPITAL","19211 MCKAY BLVD","","HUMBLE","TX","77338","Harris","(704) 887-7283","6","Physician","02/01/2009",54
"452114","ATRIUM MEDICAL CENTER","11929 W AIRPORT BLVD, SUITE 110","","STAFFORD","TX","77477","Fort Bend","(281) 207-8200","6","Physician","08/30/2007",68
"452118","HOUSTON METHODIST CONTINUING CARE HOSPITAL","701 S FRY ROAD","","KATY","TX","77450","Harris","(281) 599-5700","6","Non-profit","08/01/2014",102
"452121","CONTINUECARE HOSPITAL AT MEDICAL CENTER ODESSA","500 WEST  4TH STREET , 4TH FLOOR","","ODESSA","TX","79761","Ector","(972) 943-6488","6","Non-profit","02/01/2016",25
"462003","SPECIALTY HOSPITAL OF UTAH","401 SOUTH 400 EAST","","BOUNTIFUL","UT","84010","Davis","(801) 295-2361","8","Non-profit","04/01/1982",16
"462004","PROMISE HOSPITAL OF SALT LAKE","8TH AVENUE C STREET","","SALT LAKE CITY","UT","84143","Salt Lake","(801) 408-7109","8","For profit","02/01/2003",41
"462005","UTAH VALLEY SPECIALTY HOSPITAL","306 WEST RIVER BEND LANE","","PROVO","UT","84604","Utah","(801) 226-8880","8","For profit","07/01/2007",40
"462006","LANDMARK HOSPITAL OF SALT LAKE CITY, LLC","4252 SOUTH BIRKHILL BOULEVARD","","MURRAY","UT","84107","Salt Lake","(801) 268-5400","8","For profit","02/01/2014",38
"492001","LAKE TAYLOR TRANSITIONAL CARE HOSPITAL","1309 KEMPSVILLE ROAD","","NORFOLK","VA","23502","Norfolk City","(757) 461-5001","3","Government","07/01/1966",296
"492007","HOSPITAL FOR EXTENDED RECOVERY","600 GRESHAM DRIVE SUITE 700","","NORFOLK","VA","23507","Norfolk City","(757) 388-1700","3","Non-profit","06/01/2002",35
"492008","SELECT SPECIALTY HOSPITAL HAMPTON ROADS ","245 CHESAPEAKE AVENUE","","NEWPORT NEWS","VA","23607","Newport News City","(757) 534-5000","3","Non-profit","05/01/2006",25
"492009","VIBRA HOSPITAL OF RICHMOND","2220 EDWARD HOLLAND DRIVE","","RICHMOND","VA","23230","Henrico","(804) 678-7000","3","For profit","05/01/2008",60
"492010","CENTRA SPECIALTY HOSPITAL","3300 RIVERMONT AVENUE,  KRISE BUILDING, 5TH FLOOR","","LYNCHBURG","VA","24503","Lynchburg City","(434) 200-1960","3","Non-profit","01/01/2008",36
"492011","UVA TRANSITIONAL CARE HOSPITAL","2965 IVY ROAD","","CHARLOTTESVILLE","VA","22908","Charlottesville City","(434) 924-7897","3","Government","07/01/2011",40
"502001","REGIONAL HOSPITAL FOR RESPIRATORY AND COMPLEX CARE","16251 SYLVESTER SW ROAD","","BURIEN","WA","98166","King","(206) 248-4548","10","Non-profit","07/01/1994",40
"502002","KINDRED HOSPITAL-SEATTLE","10631 8TH AVE NE","","SEATTLE","WA","98125","King","(206) 364-2050","10","For profit","01/01/1995",80
"512002","SELECT SPECIALTY HOSPITAL","333 LAIDLEY STREET","","CHARLESTON","WV","25301","Kanawha","(304) 388-6671","3","Non-profit","09/01/2002",32
"512003","CORNERSTONE HOSPITAL OF HUNTINGTON","2900 FIRST AVENUE, 2E","","HUNTINGTON","WV","25702","Cabell","(304) 399-2600","3","For profit","11/01/2005",28
"522005","LAKEVIEW SPECIALTY HOSPITAL  &  REHAB CENTER","1701 SHARP ROAD","","WATERFORD","WI","53185","Racine","(262) 534-7297","5","For profit","10/01/1998",39
"522006","SELECT SPECIALTY HOSPITAL MILWAUKEE","8901 W LINCOLN AVE  2ND FLOOR","","WEST ALLIS","WI","53227","Milwaukee","(414) 328-7700","5","For profit","10/31/1999",63
"522008","SELECT SPECIALTY HOSPITAL MADISON","801 BRAXTON PLACE","","MADISON","WI","53715","Dane","(608) 260-2700","5","For profit","06/01/2007",23
